,title,pdf_link,approval_number,company,indications_for_use,product_code,body_area,modality,predicate,performance,validation,related_use_cases,date_cleared
52,MammoScreen,https://www.accessdata.fda.gov/cdrh_docs/pdf19/K192854.pdf,K192854,Therapixel ,"MammoScreen is intended for use as a concurrent reading aid for interpreting physicians, to help identify findings on screening FFDM acquired with compatible mammography systems and assess their level of suspicion. Output of the device includes marks placed on findings on the mammogram and level of suspicion scores. The findings could be soft tissue lesions or calcifications. The level of suspicion score is expressed at the finding level, for each breast and overall for the mammogram.",QDQ,Breast,FFDM,Transpara,"Standalone performance testing of MammoScreen assess the performance of MammoScreen-algorithms in the absence of a clinician and includes mammograms of women. Testing was conducting at the Mammogram-level, Breast-level and Finding-level.",Clinical testing was a retrospective multi reader multi case study meant to compare cancer detection performance of radiologists reading with the aid of MammoScreen to the reading results of the same cohort of radiologists without any decision support.,"Classifying Suspicious Microcalcifications, Breast Lesion Malignancy Evaluation, Breast Density Quantification",3/25/2020
53,MEDO ARIA,https://www.accessdata.fda.gov/cdrh_docs/pdf20/K200356.pdf,K200356,Medo.AI,"MEDO ARIA is designed to view and quantify ultrasound image data using machine learning techniques to aid trained medical professionals in diagnosis of developmental dysplasia of the hip (DDH). The device is intended to be used on neonates and infants, aged 0-12 months.",QIH,Hip,Ultrasound,QLAB Advanced Quantification Software,Safety and performance of MEDO ARIA have been evaluated and verified in accordance with software specifications and applicable performance standards through software verification and validation testing.,None,No,6/11/2020
54,NeuroQuant,https://www.accessdata.fda.gov/cdrh_docs/pdf17/K170981.pdf,K170981,"CorTech Labs, Inc","NeuroQuant is intended for automatic labeling, visualization and volumetric quantification of segmentable brain structures and lesions from a set of MR images.",LLZ,Brain,MR,NeuroQuant,NeuroQuant performance was evaluated by comparing segmentation accuracy with expert manual segmentations and by measuring segmentation reproducibility between same subject scans. The system yields reproducible results that are well correlated with computer-aided expert manual segmentations.,None,None,9/7/2017
55,NinesAI,https://www.accessdata.fda.gov/cdrh_docs/pdf19/K193351.pdf,K193351,"Nines, Inc.       ","NinesAI is a parallel workflow tool indicated for use by hospital networks and trained clinicians to identify images of specific patients to a radiologist, independent of standard of care workflow, to aid in prioritizing and performing the radiological review. NinesAI uses artificial intelligence algorithms to analyze head CT images for findings suggestive of a pre-specified emergent clinical condition.",QAS,Head,CT,BriefCase,"Nines performed software verification and validation testing that covers the performance of the algorithms, as well as the performance of the software and its components.",The NinesAI device underwent performance testing to verify the efficacy and safety of the machine learning algorithms. Both of the algorithms used in NinesAI were evaluated independently from each other to allow for an individual understand of each algorithm's respective performance.,None,4/21/2020
56,OsteoDetect,https://www.accessdata.fda.gov/cdrh_docs/reviews/DEN180005.pdf,DEN180005,Imagen Technologies,OsteoDetect analyzes wrist radiographs using machine learning techniques to identify and highlight distal radius fractures during the review of PA and LAT radiographs of adult wrists.,QBS,Wrist,Radiograph,None,"Imagen designed and executed a standalone performance assessment. The study data population is an independent dataset not used for model development, consisting of 1000 images (500 PA, 500 LAT) which were randomly sampled from an existing validation databases. Images collected from November 2016-April 2017. Ground truth for each case was determined by three US board certified orthopedic hand surgeons. Ground truth for the presence/absence of distal radius fracture is defined as the majority opinion of at least 2 of 3 clinicians participating. For detection accuracy, the AUC of the ROC is .965, sensitivity is 92.1% and specificity is 90.2%. This performance was observed for both PA and LAT views across elderly status and post-surgical status, and it was observed on radiographs representative of OsteoDetect’s intended use.","Imagen performed a MRMC retrospective study to assess performance of OsteoDetect when used with concurrent reading to assist clinicians in detecting distal radius fractures during interpretation of PA and LAT radiographs of adult wrists. 24 Readers evaluated 200 OstoDetect-Aided and 200 OsteoDetect-unaided. The AUC for OsteoDetect-Aided is .889, sensitivity .803, and specificity: .914. OsteoDetect-Unaided AUC .840, sensitivity .747, and specificity .889.",None,5/24/2018
57,PowerLook Tomo Detection V2 Software,https://www.accessdata.fda.gov/cdrh_docs/pdf18/K182373.pdf,K182373,iCAD Inc.,"PowerLook® Tomo Detection V2 Software is a computer-assisted detection and diagnosis (CAD) software device intended to be used concurrently by interpreting physicians while reading digital breast tomosynthesis (DBT) exams from compatible DBT systems. The system detects soft tissue densities (masses, architectural distortions and asymmetries) and calcifications in the 3D DBT slices.",QDQ,Breast,Digital Breast Tomosynthesis,OsteoDetect (DEN180005),"Verified and validated according to iCAD's design control processes. Verification activity included unit, integration, and system level testing. Validation testing included standalone testing and performing a pivotal reader study to compare the clinical performance of radiologists using CAD detections and Certainty of Finding and Case Scores from the system to that of radiologists using DBT without CAD. 
A standalone study which evaluated the performance of PLTD without a radiologist was conducted with a sample of 655 Hologic DBT cases. Results show that Case-level sensitivity, lesion-level sensitivity, FP rate in non-cancer cases, and specificity met design specifications. A GE DBT standalone study was conducted to evaluate the performance of PLTD V2 with a sample of 610 GE DBT cases. The purpose of the standalone study was to assess the standalone performance of PLTD V2 on a screening population. Results from the standalone study showed that Case-level sensitivity, lesion-level sensitivity, FP Rate in Non-Cancer Cases, and specificity met design specifications.",A pivotal reader study was conducted with 24 tomosynthesis radiologist readers and an enriched sample of 260 Hologic digital breast tomosynthesis (DBT) cases. The purpose of the study was to compare clinical performance of radiologists using CAD detections and Certainty of Find and Case Scores from the PLTD V@ CAD system with DBT images to that of radiologists using DBT without CAD.,None,12/6/2018
58,ProFound AI Software V2.1,https://www.accessdata.fda.gov/cdrh_docs/pdf19/K191994.pdf,K191994,"iCAD, Inc.","ProFound™ AI V2.1 Software is a computer-assisted detection and diagnosis (CAD) software device intended to be used concurrently by interpreting physicians while reading digital breast tomosynthesis (DBT) exams from compatible DBT systems. The system detects soft tissue densities (masses, architectural distortions and asymmetries) and calcifications in the 3D DBT slices. The detections and Certainty of Finding and Case Scores assist interpreting physicians in identifying soft tissue densities and calcifications that may be confirmed or dismissed by the interpreting physician.",QDQ,Breast,Digital Breast Tomosynthesis,PowerLook Tomo Detection,ProFound AI V2.1 has been verified and validated according to iCAD's design control processes. iCAD performed various standalone testing for the device.,None,"Classifying Suspicious Microcalcifications, Breast Lesion Malignancy Evaluation, Breast Density Quantification",10/4/2019
59,qER,https://www.accessdata.fda.gov/cdrh_docs/pdf20/K200921.pdf,K200921,Qure.ai Technologies ,"qER is a radiological computer aided triage and notification software indicated for use in the analysis of non-contrast head CT images. The device is intended to assist hospital networks and trained medical specialists in workflow triage by flagging the following suspected positive findings of pathologies in head CT images: intracranial hemorrhage, mass effect, midline shift and cranial fracture. qER uses an artificial intelligence algorithm to analyze images on a standalone cloud-based application in parallel to the ongoing standard of care image interpretation.",QAS,Head,CT,BriefCase for ICH,None,"A retrospective, multicenter, blinded clinical study was conducted to test the accuracy of qER at triaging head CT scans containing one of the conditions listed below and to establish the clinical benefit of such triage.",Midline Shift,6/17/2020
60,Quantib Brain,https://www.accessdata.fda.gov/cdrh_docs/pdf17/K173939.pdf,K173939,Quantib B.V.,"Quantib™ Brain is a non-invasive medical imaging processing application that is intended for automatic labeling, visualization, and volumetric quantification of segmentable brain structures from a set of magnetic resonance (MR) images. The Quantib™ Brain output consists of segmentations, visualizations and volumetric measurements of grey matter (GM), white matter (WM), and cerebrospinal fluid (CSF). The output also visualizes and quantifies white matter hyper intensity (WMH) candidates.",LLZ,Brain,MR,Quantib™ Brain 1.2 ( K163013 ),"To validate the quality of Quantib Brain volume measurements and segmentations, the relative volumes and the segmentations were compared to relative volumes derived from manual segmentations and to manual segmentations of the same scan. This analysis was performed for GM, WM, CSF, ICV, and WMHs. For Brain Volumetry, the test set included 33 3DT1w MR images. The set was carefully selected to include data from multiple vendors and a series of representative scan settings. For each scan, 6 slices were selected for comparison.",None,None,3/9/2018
61,Quantib ND,https://www.accessdata.fda.gov/cdrh_docs/pdf18/K182564.pdf,K182564,Quantib BV,"Quantib ND is a non-invasive medical imaging processing application that is intended for automatic labeling, visualization, and volumetric quantification of segmentable brain structures from a set of MR images. The Quantib ND output consists of segmentations, visualizations and volumetric measurements of brain structures and white matter hyper intensities. Quantib ND is a software application on top of Myrian.",LLZ,Brain,MR,Quantib Brain 1.3,"To validate the quality of Quantib ND volume measurements and segmentations, these were compared to manual segmentations of the same scan and their derived volumes. For brain tissues, the test set included 33 MR images which was carefully selected to include data from multiple vendors and a series of representative scan settings. The test set for the white matter hyperintensitiy analysis included 45 3D T1w images.",None,None,12/27/2018
62,QuantX,https://www.accessdata.fda.gov/cdrh_docs/reviews/DEN170022.pdf,DEN170022,"Quantitative Insights, Inc","QuantX is a computer-aided diagnosis (CADx) software device used to assist radiologists in the assessment and characterization of breast abnormalities using MR image data. The software automatically registers images, and segments and analyzes user-selected regions of interest (ROI).",POK,Breast,MR,None,"Standalone testing was performed on cases that were collected over a 7-year span. Dataset included a total of 652 lesions, 314 benign, and 338 malignant. The endpoint was to calculate the QI score of distinguishing between the benign and malignant cases. Overall AUC performance based on the bootstrap method was 0.86.",A MRMC was used to determining the impact on reader performance in diagnosing breast cancer. A total of 19 readers completed the study 111 breast MR images.,None,7/19/2017
63,Rapid ASPECTS,https://www.accessdata.fda.gov/cdrh_docs/pdf20/K200760.pdf,K200760,iSchema View Inc. ,Rapid ASPECTS is a computer-aided diagnosis (CADx) software device used to assist the clinician in the assessment and characterization of brain tissue abnormalities using CT image data. The Software automatically registers images and segments and analyzes ASPECTS Regions of lnterest (ROIs).,POK,Head,CT,QuantX,iSchema View conducted extensive performance validation testing and software verification and validation testing of the Rapid ASPECTS module both as standalone software and as integrated within the Rapid Platform.,"The reader study design was a concurrent read, cross-over study design with 50 cases with each of 10 regions scored independently.",None,6/26/2020
64,RAPID ICH,https://www.accessdata.fda.gov/cdrh_docs/pdf19/K193087.pdf,K193087,iSchemaView Inc.,RAPID ICH is a radiological computer aided triage and notification software indicated for use in the analysis of non-enhanced head CT images.,QAS,Head,CT,BriefCase,"Verification, Validation and Standalone Performance Testing was completed","iSchemaView conducted a retrospective, blinded, multicenter, multinational study with the RAPID ICH software with the primary endpoint to evaluate the software's performance in identifying noncontrast CT head images containing ICH findings in 336 cases from US and OUS sites.",None,3/28/2020
65,Rapid LVO 1.0,https://www.accessdata.fda.gov/cdrh_docs/pdf20/K200941.pdf,K200941,iSchemaView Inc.,Rapid LVO is a radiological computer aided triage and notification software indicated for use in the analysis of CTA head images. The device is intended to assist hospital networks and trained radiologists in workflow triage by flagging and communication of suspected positive Large Vessel Occlusion (LVO) findings in head CTA images. Rapid LVO uses a software algorithm to analyze images and highlight cases with suspected LVO on a server or standalone desktop application in parallel to the ongoing standard of care image interpretation.,QAS,Head,CTA,Rapid ICH,"Verification, validation, and standalone performance testing was completed",None,None,7/9/2020
66,red dot Device,https://www.accessdata.fda.gov/cdrh_docs/pdf19/K191556.pdf,K191556,Behold.AI Technologies Limited,The red dot software platform is a software workflow tool designed to aid the clinical assessment of adult chest X-Ray cases with features suggestive of Pneumothorax in the medical care environment. Red dot analyzes cases using an artificial intelligence algorithm to identify suspected findings. It makes case-level output available to a PACS/workstation for worklist prioritization or triage. red dot is not intended to direct attention to specific portions basis for clinical decision-making nor is it intended to rule out Pneumothorax or otherwise preclude clinical assessment of X-Ray cases.,QFM,Chest,X-Ray,HealthPNX,None,Multi-center retrospective anonymized study of adult patient CXR images was performed. The final standalone dataset was composed of 888 CXR images from 2 clinical sites from the US and 2 clinical sites from the UK.,Pneumothorax,2/28/2020
67,RSI-MRI+,https://www.accessdata.fda.gov/cdrh_docs/pdf19/K191278.pdf,K191278,HealthLytix,"RSI-MRI+ is indicated for use as automatic post-acquisition image processing software for analysis of diffusion-weighted and anatomical magnetic resonance imaging data. 
It is intended for automatic fusion of derived diffusion-weighted MRI data with anatomical T2-weighted MR images. 
It is additionally intended to provide automatic prostate segmentation, quantification, and reporting of derived image metrics.",LLZ,Male Pelvis,DWI-MRI,Eigen ProFuse CAD (K173744),"Performance testing included protocols demonstrating: 

Increased conspicuity of the RSI-MRI+ restricted signal map to standard DWI maps in regions of restricted diffusion 
Accuracy of automated segmentation compared to manual radiologist segmentations 
Diffusion signal normalization across acquisitions and scanners retrospective 

 
Clinical data (including professionally labeled regions-of-interest, T2- weighted anatomical data, and raw diffusion image series) were used for verification and validation of the diffusion analysis (diffusion signal normalization and restricted signal map conspicuity)",None,None,11/19/2019
68,StoneChecker,https://www.accessdata.fda.gov/cdrh_docs/pdf19/K191530.pdf,K191530,Imaging Biometrics,StoneChecker is a standalone post-processing software application which assists trained professionals in evaluating DICOM computer tomography image studies of patients diagnosed with kidney stones.,LLZ,Abdomen,CT,IQQA-BodyImaging Software (K141745),None,"StoneChecker underwent usage validation at two clinical sites in Oxford, UK and Beijing, China. The purpose of the testing was to have physicians use StoneChecker to analyze KUB CT scans, validate major functionalities provided by StoneChecker, and provide feedback on the clinical usability of StoneChecker.",None,9/26/2019
69,SubtleMR,https://www.accessdata.fda.gov/cdrh_docs/pdf19/K191688.pdf,K191688,"Subtle Medical, Inc.     ","SubtleMR is an image processing software that can be used for image enhancement in MRI images. It can be used to reduce image noise for head, spine, neck and knee MRI, or increase image sharpness for non-contrast enhanced head MRI.",LLZ,"Head, Spine, Neck, Knee",MRI,ZOOM (K172768),None,"The main performance study, utilizing retrospective clinical data, was divided into two tests; Noise reduction performance test and sharpness increase performance test.",None,9/16/2019
70,SubtlePET,https://www.accessdata.fda.gov/cdrh_docs/pdf18/K182336.pdf,K182336,"Subtle Medical, Inc.","SubtlePET is an image processing software intended for use by radiologists and nuclear medicine physicians for transfer, storage, and noise reduction of FDG and amyloid PET images (including PET/CT and PET/MRI)",LLZ,All,"FDG, PET,PET/CT, PET/MR",Sapheneia Clarity(K063391,The following non-clinical performance tests were performed: Design traceability conforming all requirement tracing is complete from design inputs and verification/validation and that all risk controls are implemented. Design verification testing which included confirming all labeling complies with 21CFR801 and all software requirements work as expected. Design validation testing simulated intended use to confirm that the end-to-end functionality of the Subtle PET DICOM Dispatcher in conjunction with the SubtlePET algorithm meets the design requirements. Noise reduction bench testing utilizing representative cases of human data showed increase in quantitative metrics for all cases demonstrating software reduced noise in PET scans.,None,None,11/30/2018
71,Syngo CT CaScoring,https://www.accessdata.fda.gov/cdrh_docs/pdf20/K201034.pdf,K201034,"Siemens Medical Solutions USA, Inc.","Image analysis software designed to support the physician in evaluating and documenting calcified coronary lesions, using standard or low-dose spiral or sequential CT scanning data sets. Software can be used to mark calcified coronary lesions and allocate each lesion to one of several coronary arteries. Software also
            calculates Agatston equivalent score, mass score and volume score of each coronary artery, as well as the corresponding total scores across all coronary arteries.",JAK,Heart,CT,syngo.CT CaScoring,"Software validations, bench testing, and clinical data-based software validations have been conducted to the performance claims as well as the claim of substantial equivalence to the predicate devices.","Cardiac-gated, non-contrast routine calcium scoring CT data sets were collected from a state-of-the-art CT system at a single center. The amount of calcium in the data covered all ranges of coronary calcification with Agatston scores from 0 to >2000. All data sets were annotated and scored by readers independently with an additional majority vote consensus score. Algorithm performance yielded good comparability to reader study results and met all prespecified acceptability thresholds.",Coronary Calcium Detection,5/14/2020
72,Syngo CT Lung CAD,https://www.accessdata.fda.gov/cdrh_docs/pdf19/K193216.pdf,K193216,Siemens Healthcare GmbH,The syngo.CT Lung CAD (VC30) is a CAD tool designed to assist radiologists in the detection of solid pulmonary nodules during review of multi-detector computed tomography examinations of the chest.,OEB,Chest,CT,syngo.CT Lung CAD,Standalone performance testing was conducted.,None,None,3/9/2020
73,Transpara,https://www.accessdata.fda.gov/cdrh_docs/pdf19/K193229.pdf,K193229,ScreenPoint Medical B.V.,"Transpara software is intended for use as a concurrent reading aid for physicians interpreting screening full-field digital mammography exams and digital breast tomosynthesis exams, to identify regions suspicious for breast cancer and assess their likelihood of malignancy. Output of the device includes locations of calcifications groups and soft-tissue regions, with scores indicating the likelihood that cancer is present, and an exam score indicating the likelihood that cancer is present in the exam.",QDQ,Breast,"FFDM, DBT",Transpara 1.3.0,Standalone performance testing was conducted.,"A pivotal reader study was conducted. This study was designed to provide evidence for safety and effectiveness of the device. 
The objective of the reader study was to determine whether the performance of radiologists detecting breast cancer in DBT exams increases when they concurrently use Transpara compared to when they read DBT exams unaided.",Breast Lesion Malignancy Evaluation,3/5/2020
74,VIDA vision,https://www.accessdata.fda.gov/cdrh_docs/pdf20/K200990.pdf,K200990,VIDA Diagnostics Inc.,"The VIDA|vision software provides reproducible CT values for pulmonary tissue, which is essential for providing quantitative support for diagnosis and follow up examinations. VIDA|vision can be used to support the physician in the diagnosis and documentation of pulmonary tissue images from CT thoracic datasets. 3-D segmentation and isolation of sub-compartments, volumetric analysis, density evaluations, low density cluster analysis.",JAK,Chest,CT,VIDA Pulmonary Workstation 2 (PW2),"Verification, validation, and standalone performance testing was completed","Evaluate the software’s performance in identifying Contrast-enhanced chest CTs (but not dedicated CTPA protocol), containing Incidental Pulmonary Embolism in 268 cases from 2 clinical study sites in the US. There were 74 positive cases and 194 negative cases (images with iPE versus without iPE) included in the analysis.",None,08/07/2020
75,Vitrea CT Brain Perfusion,https://www.accessdata.fda.gov/cdrh_docs/pdf18/K181247.pdf,K181247,"Vital Images, Inc.","Vitrea CT Brain Perfusion is a noninvasive post-processing software that calculates cerebral blood flow (CBF), cerebral blood volume (CBV), local bolus timing (i.e., delay of tissue response, time to peak), and mean transit time (MTT) from dynamic CT image data. It displays time density curves, perfusion characteristics in perfusion and summary maps, as well as regions of interest and mirrored regions.",LLZ,Brain,CT,Vitrea CT Brain Perfusion software (K121213),"Algorithm testing was performed to validate the proper function of the Bayesian algorithms. The test passed all the verification and validation and is therefore considered validated and acceptable. External validation evaluated if the Brain Perfusion with Bayesian algorithm (subject device) was substantially equivalent with the Brain Perfusion with SVD+ algorithm (predicate device). Based on the scores provided by the physicians, Vital concluded the Brain Perfusion with Bayesian algorithm is as safe and effective as the already cleared Brain Perfusion with SVD+ algorithm and fulfills its intended use.",None,None,11/20/2018
76,Vitrea CT Lung Density Analysis Software,https://www.accessdata.fda.gov/cdrh_docs/pdf15/K151919.pdf,K151919,"Vital Images, Inc.",Vitrea CT Lung Density Analysis assists in analyzing lung densities and volumes. It semi automatically segments lung tissues with quantifiable controls and renderings to aid communication with the pulmonologist.,JAK,Chest,CT,VIDA Pulmonary Workstation 2 (PW2) (K083227),"The Vitrea CT Lung Density Analysis software was designed, developed, and tested according to written procedures that included risk management. Software testing was completed to ensure the new features operate according to defined requirements. The following design control measures were applied to the development of the Vitrea CT Lung. During external validation of the CT Lung Density Analysis software, experienced users evaluated the visualization, axial plane location, quantification of density, and snapshots among other features. Each user felt that the Vitrea CT Lung Density Analysis software enables the user to assess and quantify lung density.",None,None,10/10/2015
77,Viz CTP,https://www.accessdata.fda.gov/cdrh_docs/pdf18/K180161.pdf,K180161,"Viz.ai, Inc.","Viz CTP is a standalone software package that is comprised of several modules including DICOM receiving and sending modules, a study processor, image analysis algorithm, as well as software system components including a DICOM storage database and system health-monitoring. The device is designed to automatically receive, identify, extract, and analyze a CTP study of the head embedded in DICOM image data. The software outputs parametric maps related to tissue blood flow (perfusion) and tissue blood volume that are written back to the source DICOM.",LLZ,Brain,CT,iSchemaView RAPID,"Viz.ai Inc. performed software verification and validation testing of the device and additional performance testing on a commercially available simulated dataset (digital phantom) generated by simulating tracer kinetic theory, and includes a wide range of clinically relevant values of perfusion parameters as ground truth.Correlations between the output of the Viz CTP device and the ground truth values were calculated, and compared to published correlations between the ground truth and the outputs of 7 other commercially available and academic CTP post-processing software. The results of performance testing showed that the Viz CTP device achieved the pre-established performance goals for AIF detection, soft matter extraction, and each perfusion parameter: cerebral blood flow (CBF), cerebral blood volume (CBV), mean transit time (MTT), and time to maximum residue (TMax).",None,None,4/20/2018
78,Viz ICH,https://www.accessdata.fda.gov/cdrh_docs/pdf19/K193658.pdf,K193658,"Viz.ai, Inc","Viz ICH is a notification-only, parallel workflow tool. Viz ICH uses an artificial intelligence algorithm to analyze non-contrast CT images of the brain acquired in the acute setting, and sends notifications to a neurovascular or neurosurgical specialist that a suspected intracranial hemorrhage has been identified and recommends review of those images.",QAS,Brain,CT,"ContaCT, BriefCase","Viz.ai conducted a retrospective study assess the standalone performance of the image analysis algorithm and notification functionally of Viz ICH. The study evaluated the Viz ICH image analysis algorithm in terms of sensitivity and specificity with respect to a ground truth, as established by trained neuro-radiologists, in the detection of ICH in the brain.",None,None,3/18/2020
